sid,rev,classification,timestamp,src_ip,src_port,dst_ip,dst_port
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:09.346695,129.21.3.17,53,192.168.193.45,34656
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:20.226730,192.168.201.10,137,192.168.207.255,137
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:20.968221,192.168.201.10,137,192.168.207.255,137
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:21.718224,192.168.201.10,137,192.168.207.255,137
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:24.489319,192.168.201.10,137,192.168.207.255,137
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:25.238343,192.168.201.10,137,192.168.207.255,137
1000002,0] UDP FLOD ALERT [**],0],04/13-15:20:25.988336,192.168.201.10,137,192.168.207.255,137
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:20:31.434103,192.168.200.126,138,192.168.207.255,138
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:21:35.724274,192.168.203.96,138,192.168.207.255,138
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:22:02.595074,192.168.199.212,138,192.168.207.255,138
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:22:16.268296,192.168.201.11,138,192.168.207.255,138
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:23:26.649729,fe80,,ff02,
1000002,0] UDP FLOOD ALERT [**],0],04/13-15:23:27.741058,192.168.196.18,5353,224.0.0.251,5353
